id,created_at,slug,website,socials,details,benefit_downloadables,benefit_github_repos,benefit_custom,benefit_discord,benefit_license_keys,webhook_endpoints,checkout_success_urls,checkout_first_session_at,trust_score,compliance_score,compliance_status,compliance_reason,details_score,details_status,details_reason,account_age_score,website_live_score,account_socials_score,benefits_score,webhook_score,has_checkout_score,switching_score
954c5761-57ea-41f8-b9af-42b4013ddedb,2025-01-14 18:53:46.89111+00,oval-pelican,https://www.ovalpelican.tld,"[{""url"": ""https://x.tld/ovalpelican"", ""platform"": ""x""}]","{""about"":""Our organization provides cloud migration and optimization services, helping businesses reduce costs and scale faster. Our GitHub Marketplace integrations allow DevOps teams to automate deployments directly from their repos."",""switching"":false,""intended_use"":""We use the service to manage subscriptions for cloud optimization services and GitHub Marketplace automation tools."",""switching_from"":""Stripe"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":135000,""previous_annual_revenue"":242000}",2,0,0,0,3,"[{""url"":""https://www.ovalpelican.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}",,2025-04-28 11:43:08.941179+00,58,-10,NON-COMPLIANT,Could not fetch or parse site,20,COMPLIANT,,13,0,5,10,0,20,0
f06738b6-ba89-49fc-a59b-45642cb2fcdd,2025-06-15 11:53:07.735046+00,internal-otter,https://www.internalotter.tld,[],"{""about"":""Our organization specializes in big data engineering, offering real-time analytics pipelines and managed data lake solutions. We sell proprietary data transformation tools through GitHub for developer-friendly integration."",""switching"":true,""intended_use"":""We use the service to sell data engineering tool licenses and manage recurring fees for enterprise analytics support."",""switching_from"":""Lemon Squeezy"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":238000,""previous_annual_revenue"":121000}",2,0,0,0,0,"{""url"":""https://www.internalotter.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.ovalpelican.tld/success/"", ""https://www.ovalpelican.tld/success?checkout_id={CHECKOUT_ID}""]",2025-06-18 12:30:05.652937+00,4,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted; selling data engineering tool licenses and managing recurring fees may be considered commercial activities that could violate this policy.",5,0,0,4,0,20,5
5d186766-8edf-462e-98d3-9daf90bd8039,2024-09-03 12:10:47.151824+00,learned-cheetah,https://www.learnedcheetah.tld,"[{""url"": ""https://x.tld/learnedcheetah"", ""platform"": ""x""}]","{""about"":""Our organization offers CI/CD automation services tailored to agile teams. Our GitHub Actions plugins streamline build, test, and deployment workflows across multiple environments."",""switching"":false,""intended_use"":""We use the service to handle monthly subscriptions for CI/CD automation tools and premium GitHub integrations."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":185000,""previous_annual_revenue"":98000}",0,7,0,1,8,"{""url"":""https://www.learnedcheetah.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.internalotter.tld/success/"", ""https://www.internalotter.tld/success?checkout_id={CHECKOUT_ID}""]",2025-02-20 04:01:16.071572+00,35,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted; offering subscription services for CI/CD tools and GitHub integrations likely violates this restriction.",20,0,5,20,0,20,0
aff62024-3326-4d84-b625-f89435ad3abb,2024-12-24 06:33:45.265037+00,quizzical-parrot,https://www.quizzicalparrot.tld,"[{""url"": ""https://x.tld/quizzicalparrot"", ""platform"": ""x""}]","{""about"":""Our organization provides cybersecurity consulting and managed SOC services. We also offer open-source security scanning tools, distributed through GitHub."",""switching"":false,""intended_use"":""We use the service to bill clients for managed security services and premium versions of our GitHub tools."",""switching_from"":""PayPal"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":147000,""previous_annual_revenue"":112000}",19,19,1,2,0,"{""url"":""https://www.quizzicalparrot.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.learnedcheetah.tld/success/"", ""https://www.learnedcheetah.tld/success?checkout_id={CHECKOUT_ID}""]",2024-12-24 13:49:20.054854+00,30,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted; billing clients for services would likely violate this policy.",15,0,5,20,0,20,0
5c04c5e4-d99c-4152-a2a9-c9ead5eb0ca5,2025-01-13 20:53:43.608947+00,screeching-baboon,https://www.screechingbaboon.tld,[],"{""about"":""Our organization delivers full-stack development services, specializing in modern web and mobile applications. Our reusable libraries on GitHub enable clients to accelerate product launches."",""switching"":true,""intended_use"":""We use the service to process payments for development retainers and licenses for our GitHub code libraries."",""switching_from"":""Paddle"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":225000,""previous_annual_revenue"":134000}",0,0,4,2,0,,"  [""https://www.quizzicalparrot.tld/success/"", ""https://www.quizzicalparrot.tld/success?checkout_id={CHECKOUT_ID}""]",2025-01-14 07:53:21.310443+00,20,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted, so processing payments for development retainers and licenses would violate this policy.",13,0,0,12,0,20,5
c61ca37c-70df-451a-8542-23aa0cb3bb84,2025-07-02 22:40:01.903955+00,strange-bee,https://www.strangebee.tld,"[{""url"": ""https://x.tld/strangebee"", ""platform"": ""x""}]","{""about"":""Our organization helps enterprises modernize IT infrastructure with Kubernetes, containers, and hybrid cloud solutions. Our GitHub-hosted IaC templates make infrastructure deployment seamless."",""switching"":false,""intended_use"":""We use the service to collect recurring fees for infrastructure consulting and subscriptions to our IaC templates."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":119000,""previous_annual_revenue"":157000}",0,0,1,1,0,,,2025-07-02 22:43:06.444717+00,43,-10,NON-COMPLIANT,Could not fetch or parse site,20,COMPLIANT,,4,0,5,4,0,20,0
284ef21d-be63-43fd-8a86-950db594e79a,2025-03-02 14:29:28.972343+00,rampant-lapwing,https://www.rampantlapwing.tld,"[{""url"": ""https://x.tld/rampantlapwing"", ""platform"": ""x""}, {""url"": ""https://discord.tld/NtaFDAJPGG"", ""platform"": ""other""}]","{""about"":""Our organization builds digital transformation strategies combining cloud platforms, automation, and AI. We support clients with GitHub-hosted frameworks for faster adoption."",""switching"":true,""intended_use"":""We use the service to manage project invoices and recurring SaaS subscriptions for our transformation frameworks."",""switching_from"":""Chargebee"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":198000,""previous_annual_revenue"":146000}",0,0,0,0,1,,,2025-03-08 18:55:59.156578+00,18,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" implying no acceptable uses are permitted; therefore, any service description is non-compliant.",11,0,10,2,0,20,5
130dc0ed-bf94-4345-ac71-87586e496e50,2025-01-09 09:25:37.398304+00,thundering-skunk,https://www.thunderingskunk.tld,[],"{""about"":""Our organization provides DevOps-as-a-Service, focusing on automation and continuous delivery. Our GitHub Marketplace offerings integrate seamlessly with existing developer workflows."",""switching"":false,""intended_use"":""We use the service to manage monthly DevOps subscriptions and GitHub Marketplace purchases."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":176000,""previous_annual_revenue"":139000}",0,0,0,0,1,"{""url"":""https://www.thunderingskunk.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}",,2025-02-03 21:21:02.916431+00,6,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" implying no acceptable uses are permitted; therefore, managing subscriptions and purchases may be considered outside acceptable use.",14,0,0,2,0,20,0
dfbf4a6c-514c-4c22-a40d-4604d5313ba6,2024-09-30 12:47:57.895382+00,classy-hawk,https://www.classyhawk.tld,[],"{""about"":""Our organization develops machine learning pipelines and MLOps solutions for enterprises. Our GitHub projects make model deployment easier for data science teams."",""switching"":false,""intended_use"":""We use the service to manage licensing fees for AI pipelines and enterprise MLOps subscriptions."",""switching_from"":""Stripe"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":243000,""previous_annual_revenue"":118000}",0,0,6,0,0,"{""url"":""https://www.classyhawk.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}",,2024-10-09 08:51:40.371279+00,61,-10,NON-COMPLIANT,Could not fetch or parse site,20,COMPLIANT,,19,0,0,12,0,20,0
2534e8c6-ce85-4803-b47b-61ad065af531,2025-06-25 23:34:15.456114+00,mellow-lobster,https://www.mellowlobster.tld,"[{""url"": ""https://x.tld/mellowlobster"", ""platform"": ""x""}]","{""about"":""Our organization is a managed services provider focused on IT support, networking, and enterprise cloud hosting. Our GitHub repositories host client-specific automation scripts."",""switching"":true,""intended_use"":""We use the service to handle recurring managed IT contracts and automation script subscriptions."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":153000,""previous_annual_revenue"":129000}",2,0,0,1,3,"{""url"":""https://www.mellowlobster.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.classyhawk.tld/success/"", ""https://www.classyhawk.tld/success?checkout_id={CHECKOUT_ID}""]",2025-06-28 05:30:14.576757+00,16,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" implying no acceptable uses are permitted; therefore, offering services related to managed IT contracts and automation scripts may violate this policy.",4,0,5,12,0,20,5
62e27f79-95ce-4de8-b18e-9b7ebf830f54,2025-06-24 08:33:27.560318+00,belligerent-turkey,https://www.belligerentturkey.tld,[],"{""about"":""Our organization accelerates software releases through custom DevOps consulting and tools. Our GitHub-based deployment accelerators simplify release cycles."",""switching"":false,""intended_use"":""We use the service to bill clients for deployment consulting and subscriptions to our GitHub tools."",""switching_from"":""Braintree"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":167000,""previous_annual_revenue"":122000}",0,0,0,0,0,"{""url"":""https://www.belligerentturkey.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.mellowlobster.tld/success/"", ""https://www.mellowlobster.tld/success?checkout_id={CHECKOUT_ID}""]",2025-06-24 08:45:36.761948+00,0,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted; therefore, offering billing for deployment consulting and subscriptions likely violates this policy.",4,0,0,0,0,20,0
6074a236-bc7d-4a93-910a-b59e92b09f8f,2025-06-25 21:20:17.099356+00,sick-caribou,https://www.sickcaribou.tld,"[{""url"": ""https://www.instagram.tld/sickcaribou/"", ""platform"": ""other""}]","{""about"":""Our organization provides code security audits and application penetration testing. Our GitHub-integrated security checks help developers identify vulnerabilities before release."",""switching"":false,""intended_use"":""We use the service to charge for security audits and subscriptions to our GitHub-integrated tools."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":134000,""previous_annual_revenue"":111000}",0,0,0,0,0,"{""url"":""https://www.sickcaribou.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.belligerentturkey.tld/success/"", ""https://www.belligerentturkey.tld/success?checkout_id={CHECKOUT_ID}""]",2025-06-26 04:54:34.231901+00,0,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted, yet the content describes charging for security audits and subscriptions, which may be considered commercial or potentially misuse the service.",4,0,5,0,0,20,0
fcd0aaba-580a-43aa-8275-b59fb59fbb21,2025-06-23 06:17:19.115478+00,sophisticated-chamois,https://www.sophisticatedchamois.tld,"[{""url"": ""https://www.instagram.tld/sophisticatedchamois/"", ""platform"": ""other""}, {""url"": ""https://www.tiktok.tld/@sophisticatedchamois"", ""platform"": ""other""}, {""url"": ""https://www.linkedin.tld/company/sophisticatedchamois/"", ""platform"": ""other""}, {""url"": ""https://www.youtube.tld/@sophisticatedchamois/shorts"", ""platform"": ""other""}, {""url"": ""https://x.tld/conelgrupito"", ""platform"": ""x""}, {""url"": ""https://facebook.tld/sophisticatedchamois"", ""platform"": ""facebook""}]","{""about"":""Our organization builds scalable SaaS platforms for startups and enterprises. Our open-source GitHub components allow teams to speed up MVP development."",""switching"":true,""intended_use"":""We use the service to manage SaaS platform subscriptions and paid access to our GitHub component libraries."",""switching_from"":""Paddle"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":245000,""previous_annual_revenue"":196000}",0,0,0,0,0,"{""url"":""https://www.sophisticatedchamois.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.sickcaribou.tld/success/"", ""https://www.sickcaribou.tld/success?checkout_id={CHECKOUT_ID}""]",2025-06-25 04:21:42.992675+00,20,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" implying no acceptable uses are permitted; therefore, managing SaaS subscriptions and paid access may violate this policy.",5,0,20,0,0,20,5
d86573bb-2a25-4cde-b722-f74290b13f8e,2025-07-05 21:51:55.701212+00,kindhearted-loris,https://www.kindheartedloris.tld,[],"{""about"":""Our organization focuses on hybrid IT, combining on-prem and multi-cloud environments. We distribute GitHub IaC blueprints for simplified adoption."",""switching"":false,""intended_use"":""We use the service to process payments for hybrid IT consulting and GitHub blueprint subscriptions."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":172000,""previous_annual_revenue"":137000}",0,0,0,0,0,"{""url"":""https://www.kindheartedloris.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}",,2025-07-05 22:12:12.109286+00,0,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" implying no acceptable uses are permitted. The content describes processing payments for services, which may be considered a commercial activity that could violate the unspecified policy.",4,0,0,0,0,20,0
5d8dabd6-9003-4222-a0e4-84ceb7ea222d,2025-06-25 01:57:11.869515+00,abiding-skunk,https://www.abidingskunk.tld,[],"{""about"":""Our organization provides IT consulting and software integration services, specializing in API-first architectures. Our GitHub utilities support faster system connectivity."",""switching"":true,""intended_use"":""We use the service to manage consulting invoices and subscriptions to our GitHub integration utilities."",""switching_from"":""Stripe"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":214000,""previous_annual_revenue"":123000}",0,0,0,0,0,"{""url"":""https://www.abidingskunk.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}",,2025-06-25 02:05:15.361115+00,0,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" implying no acceptable uses are permitted; therefore, any service description would be non-compliant.",4,0,0,0,0,20,5
8682eea4-5aa8-4b58-aacf-eea245f30b07,2025-06-18 11:05:54.480471+00,adorable-dolphin,https://www.adorabledolphin.tld,[],"{""about"":""Our organization offers enterprise security solutions, from zero-trust architecture to compliance automation. We maintain GitHub security tools to help dev teams bake security into workflows."",""switching"":false,""intended_use"":""We use the service to charge clients for compliance solutions and GitHub security tool subscriptions."",""switching_from"":""Chargebee"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":149000,""previous_annual_revenue"":117000}",0,0,0,0,0,,"  [""https://www.abidingskunk.tld/success/"", ""https://www.abidingskunk.tld/success?checkout_id={CHECKOUT_ID}""]",2025-06-18 11:28:35.646896+00,0,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted; offering services for charging clients and subscriptions may violate this policy.",5,0,0,0,0,20,0
ac4a06b0-cb94-4454-8669-d5590b548447,2025-06-22 00:41:41.761474+00,organic-hare,https://www.organichare.tld,[],"{""about"":""Our organization develops microservices architectures and provides backend scaling services. Our GitHub Marketplace connectors integrate easily with cloud-native systems."",""switching"":false,""intended_use"":""We use the service to handle licensing fees for microservices connectors and backend scaling support."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":188000,""previous_annual_revenue"":142000}",0,0,0,0,0,,"  [""https://www.adorabledolphin.tld/success/"", ""https://www.adorabledolphin.tld/success?checkout_id={CHECKOUT_ID}""]",2025-07-06 13:12:19.427708+00,0,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" indicating no acceptable uses are permitted, so any service description is non-compliant.",5,0,0,0,0,20,0
e32c7a66-960b-4881-8bd2-ca587e3956fb,2025-01-31 09:44:24.856255+00,skinny-penguin,https://www.skinnypenguin.tld,[],"{""about"":""Our organization enables businesses to leverage AI and automation for operational efficiency. We share prebuilt AI workflows and tools via GitHub."",""switching"":true,""intended_use"":""We use the service to manage subscriptions for AI automation tools and GitHub workflow packages."",""switching_from"":""PayPal"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":202000,""previous_annual_revenue"":168000}",0,0,0,0,0,"{""url"":""https://www.skinnypenguin.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.organichare.tld/success/"", ""https://www.organichare.tld/success?checkout_id={CHECKOUT_ID}""]",2025-02-12 14:18:09.641241+00,47,-10,NON-COMPLIANT,Could not fetch or parse site,20,COMPLIANT,,12,0,0,0,0,20,5
3ebf346c-2d51-4aa8-8697-a2715e9236fd,2025-05-22 04:48:19.747317+00,massive-pheasant,https://www.massivepheasant.tld,[],"{""about"":""Our organization builds resilient IT systems with cloud-native monitoring and observability. Our GitHub-hosted monitoring plugins extend popular open-source platforms."",""switching"":false,""intended_use"":""We use the service to manage subscriptions for monitoring plugins and cloud observability solutions."",""switching_from"":"""",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":141000,""previous_annual_revenue"":131000}",0,0,0,0,0,"{""url"":""https://www.massivepheasant.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}","  [""https://www.skinnypenguin.tld/success/"", ""https://www.skinnypenguin.tld/success?checkout_id={CHECKOUT_ID}""]",2025-05-22 05:20:27.768523+00,36,-10,NON-COMPLIANT,Could not fetch or parse site,20,COMPLIANT,,6,0,0,0,0,20,0
4bb94a6d-cbd6-4e46-bdb4-56eedabe51e2,2025-07-02 07:39:56.656413+00,long-snail,https://www.longsnail.tld,[],"{""about"":""Our organization delivers IT support, cybersecurity, and infrastructure modernization. Our GitHub repositories host automation playbooks for client environments."",""switching"":false,""intended_use"":""We use the service to manage IT support retainers and subscriptions to our GitHub automation playbooks."",""switching_from"":""Braintree"",""product_description"":"""",""customer_acquisition"":[],""future_annual_revenue"":158000,""previous_annual_revenue"":144000}",0,0,0,0,0,"{""url"":""https://www.longsnail.tld/api/webhook/payment"",""events"":[""order.created"",""subscription.canceled"",""order.refunded"",""order.paid"",""subscription.created"",""subscription.updated"",""subscription.active"",""order.updated"",""subscription.uncanceled"",""subscription.revoked""],""created_at"":""2025-09-01T24:00:00.000000+00:00""}]","  [""https://www.massivepheasant.tld/success/"", ""https://www.massivepheasant.tld/success?checkout_id={CHECKOUT_ID}""]",2025-07-02 08:26:00.178577+00,0,-10,NON-COMPLIANT,Could not fetch or parse site,-20,NON-COMPLIANT,"The acceptable-use policy states ""None,"" implying no acceptable uses are permitted, so managing IT support retainers and subscriptions may violate this policy.",4,0,0,0,0,20,0
